worker_id,worker_type,job_fam,job_title,job_career_path,job_level,region,country,latitude,longitude,remote,is_mgr,sup_id,l2_mgr_id,l3_mgr_id,l4_mgr_id,l5_mgr_id,l6_mgr_id,pay_comp_plan,pay_mid_point,pay_base_salary,pay_ttl_comp,worker_headcount,worker_tenure_years,compa_ratio,div indicator,rg,gen,outcome,pay_equity,job func
36,empl,finance,analyst,ic,i2,apac,singapore,1.357107,103.8194992,Onsite,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,2,1.2,,,Male,0,,
37,empl,finance,analyst,ic,i2,na,usa,40.7596198,-111.8867975,Remote,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,15,1.08,,,Male,0,,
38,empl,finance,analyst,ic,i2,emea,uk,55.9533456,-3.1883749,Remote,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,4,0.87,,,Male,0,,
39,empl,finance,analyst,ic,i2,india,india,12.9791198,77.5912997,Remote,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,9,0.24,,,Male,0,,
40,empl,finance,analyst,ic,i2,na,canada,45.4972159,-73.6103642,Onsite,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,14,0.78,,,Male,0,,
42,empl,finance,analyst,ic,i2,apac,korea,37.5666791,126.9782914,Onsite,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,11,2.25,,,Male,0,,
43,empl,finance,analyst,ic,i2,emea,egypt,30.0443879,31.2357257,Onsite,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,8,1.06,,,Male,0,,
44,empl,finance,analyst,ic,i2,emea,russia,59.938732,30.316229,Onsite,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,10,1.1,,,Male,0,,
14,empl,accounting,analyst,svp,m6,na,usa,40.7127281,-74.0060152,Onsite,1,2,2,,,,,ttl_base_pay,1,100000,,1,6,1.02,,,Male,0,,
15,empl,audit,analyst,svp,m6,latam,brazil,-23.5506507,-46.6333824,Remote,1,2,2,,,,,ttl_base_pay,1,100000,,1,1,1.03,,,Male,0,,
16,empl,finance,analyst,vp,m5,na,canada,49.2608724,-123.1139529,Onsite,1,13,2,13,,,,ttl_base_pay,1,100000,,1,6,1.02,,,Male,0,,
17,empl,finance,analyst,mgr,m3,na,canada,49.2333896,-123.0664846,Remote,1,13,2,13,,,,ttl_base_pay,1,100000,,1,7,1.2,,,Male,0,,
18,empl,finance,analyst,ic,i6,na,canada,49.2189795,-123.0638159,Onsite,0,13,2,13,,,,ttl_base_pay,1,100000,,1,9,0.85,,,Male,0,,
19,empl,finance,analyst,ic,i1,emea,uk,57.363045,-6.3019792,Remote,0,13,2,13,,,,ttl_base_pay,1,100000,,1,4,1,,,Male,0,,
20,empl,finance,analyst,dir,m4,apac,singapore,1.357107,103.8194992,Onsite,1,16,2,13,16,,,ttl_base_pay,1,100000,,1,9,0.97,,,Male,0,,
21,empl,finance,analyst,vp,m5,apac,singapore,1.2881865,103.8463956,Remote,1,20,2,13,16,20,,ttl_base_pay,1,100000,,1,2,1,,,Male,0,,
22,empl,finance,analyst,ic,i5,apac,singapore,1.2793949,103.8529925,Onsite,0,21,2,13,16,20,21,ttl_base_pay,1,100000,,1,12,1.2,,,Female,0,Female,
23,empl,finance,analyst,ic,i4,apac,singapore,1.3034266,103.831342,Remote,0,21,2,13,16,20,21,ttl_base_pay,1,100000,,1,5,1.7,,,Male,0,,
24,empl,finance,analyst,ic,i6,apac,singapore,1.357107,103.8194992,Onsite,0,21,2,13,16,20,21,ttl_base_pay,1,100000,,1,2,0.5,,,Male,0,,
25,empl,finance,analyst,ic,i3,apac,singapore,1.3446517,103.9331223,Remote,0,21,2,13,16,20,21,ttl_base_pay,1,100000,,1,10,0.2,,,Female,0,,
26,empl,finance,analyst,ic,i2,apac,singapore,1.357107,103.8194992,Onsite,0,21,2,13,16,20,21,ttl_base_pay,1,100000,,1,13,0.2,,,Female,0,Female,
27,empl,finance,analyst,ic,i2,apac,singapore,1.3690124,103.938093,Remote,0,21,2,13,16,20,21,ttl_base_pay,1,100000,,1,12,0.9,,,Female,0,,
28,empl,finance,analyst,ic,i2,latam,mexico,19.4326296,-99.1331785,Onsite,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,9,1,,,Female,0,,
29,empl,finance,head FP&A,ic,i2,latam,mexico,22.5000485,-100.0000375,Remote,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,2,2.2,,,Female,0,Female,
30,empl,finance,head FP&A,ic,i2,latam,mexico,24.833333,-104.833333,Remote,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,14,1,,,Male,0,,
32,empl,finance,head FP&A,ic,i2,latam,mexico,21.1413398,-100.0709297,Remote,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,3,1.23,,,Male,0,,
33,empl,finance,head FP&A,ic,i2,apac,singapore,1.3905505,103.8398149,Remote,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,7,0.86,,,Male,0,,
34,empl,finance,head FP&A,ic,i2,apac,singapore,1.357107,103.8194992,Onsite,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,15,0.92,,,Male,0,,
35,empl,finance,head FP&A,ic,i2,apac,singapore,1.3905505,103.8398149,Remote,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,2,1.1,,,Female,0,,
36,empl,finance,head FP&A,ic,i2,apac,singapore,1.357107,103.8194992,Onsite,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,2,1.2,,,Female,0,,
37,empl,finance,head FP&A,ic,i2,na,usa,40.7596198,-111.8867975,Remote,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,15,1.08,,,Male,1,,
38,empl,finance,head FP&A,ic,i2,emea,uk,55.9533456,-3.1883749,Remote,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,4,0.87,,,Male,1,,
39,empl,finance,head FP&A,ic,i2,india,india,12.9791198,77.5912997,Remote,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,9,0.24,,,Male,1,,
40,empl,finance,head FP&A,ic,i2,na,canada,45.4972159,-73.6103642,Onsite,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,14,0.78,,,Male,1,,
42,empl,finance,head FP&A,ic,i2,apac,korea,37.5666791,126.9782914,Onsite,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,11,2.25,,,Male,1,,
43,empl,finance,head FP&A,ic,i2,emea,egypt,30.0443879,31.2357257,Onsite,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,8,1.06,,,Male,1,,
44,empl,finance,head FP&A,ic,i2,emea,russia,59.938732,30.316229,Onsite,0,17,2,13,17,,,ttl_base_pay,1,100000,,1,10,1.1,,,Male,1,,
